ID,Client,Project,Deadline,Team,Status,Budget_Hours,היקף כספי (₪),אנשי קשר מקושרים
1,אקרו,פרוייקט white שלב ב',21/03/2026,"ערן - מנהל קריאייטיב, ג׳ורג׳ - תלת מימד",Active,,,
2,עודד חלף,סביונים,24/03/2026,"טלי - מנהלת קריאייטיב, ג׳ורג׳ - תלת מימד",Active,,5850,Active
3,סולל בונה,הר החוצבים,24/03/2026,"ערן - מנהל קריאייטיב, טלי - מנהלת קריאייטיב, ליאור - תלת מימד, אחיעד - תלת מימד, אור - עורך ובמאי, ג׳ורג׳ - תלת מימד",Active,,175500,
4,אלעד מגורים,בית הכרם,25/03/2026,"ערן - מנהל קריאייטיב, טלי - מנהלת קריאייטיב, ליאור - תלת מימד, אחיעד - תלת מימד, אור - עורך ובמאי, ג׳ורג׳ - תלת מימד",Active,,23400,
5,גינדי,הסתדרות גבעתיים,25/03/2026,"ערן, טלי, ליאור, אחיעד, אור, ג׳ורג׳",Active,,19890,"ויקי - קנדה ישראל (יזם/לקוח), מירב סגל - קנדה ישראל (יזם/לקוח), עומר לוי - קנדה ישראל (יזם/לקוח)"
